# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
1.720000000000e+03 8.758331314078e-05 2.408638602390e-04 1.853200209971e-06 2.338271046814e-05 1.859433715948e-05 2.460459977861e-02
1.740000000000e+03 8.742023154699e-05 2.405776745943e-04 1.851709404980e-06 2.345667009796e-05 1.867214011416e-05 2.458483866269e-02
1.760000000000e+03 8.725742649422e-05 2.402920172988e-04 1.850221647260e-06 2.353053545989e-05 1.874984093508e-05 2.456511796720e-02
1.780000000000e+03 8.709490315068e-05 2.400068940987e-04 1.848736943956e-06 2.360430180186e-05 1.882743485206e-05 2.454543778492e-02
1.800000000000e+03 8.693266569012e-05 2.397223092127e-04 1.847255295745e-06 2.367796498030e-05 1.890491772003e-05 2.452579812305e-02
1.820000000000e+03 8.677071731381e-05 2.394382652346e-04 1.845776695397e-06 2.375152135159e-05 1.898228591425e-05 2.450619888407e-02
1.840000000000e+03 8.660906025754e-05 2.391547630164e-04 1.844301126278e-06 2.382496767564e-05 1.905953623770e-05 2.448663984585e-02
1.860000000000e+03 8.644769578644e-05 2.388718015383e-04 1.842828560844e-06 2.389830103034e-05 1.913666583953e-05 2.446712064159e-02
1.880000000000e+03 8.628662418063e-05 2.385893777699e-04 1.841358959139e-06 2.397151873610e-05 1.921367214338e-05 2.444764073983e-02
1.900000000000e+03 8.612584471447e-05 2.383074865289e-04 1.839892267338e-06 2.404461828929e-05 1.929055278470e-05 2.442819942519e-02
1.920000000000e+03 8.596535563247e-05 2.380261203433e-04 1.838428416375e-06 2.411759730407e-05 1.936730555601e-05 2.440879578002e-02
1.940000000000e+03 8.580515412443e-05 2.377452693227e-04 1.836967320685e-06 2.419045346176e-05 1.944392835967e-05 2.438942866775e-02
1.960000000000e+03 8.564523630284e-05 2.374649210435e-04 1.835508877099e-06 2.426318446737e-05 1.952041916711e-05 2.437009671817e-02
1.980000000000e+03 8.548559718474e-05 2.371850604557e-04 1.834052963925e-06 2.433578801266e-05 1.959677598439e-05 2.435079831527e-02
2.000000000000e+03 8.532623068061e-05 2.369056698134e-04 1.832599440255e-06 2.440826174554e-05 1.967299682334e-05 2.433153158793e-02
2.020000000000e+03 8.516712959232e-05 2.366267286363e-04 1.831148145515e-06 2.448060324538e-05 1.974907967807e-05 2.431229440404e-02
2.040000000000e+03 8.500828562201e-05 2.363482137043e-04 1.829698899299e-06 2.455281000410e-05 1.982502250644e-05 2.429308436825e-02
2.060000000000e+03 8.484968939338e-05 2.360700990896e-04 1.828251501500e-06 2.462487941268e-05 1.990082321626e-05 2.427389882369e-02
2.080000000000e+03 8.469133048685e-05 2.357923562293e-04 1.826805732759e-06 2.469680875293e-05 1.997647965593e-05 2.425473485795e-02
2.100000000000e+03 8.453319748918e-05 2.355149540391e-04 1.825361355243e-06 2.476859519438e-05 2.005198960931e-05 2.423558931336e-02
2.120000000000e+03 8.437527805844e-05 2.352378590700e-04 1.823918113758e-06 2.484023579599e-05 2.012735079449e-05 2.421645880182e-02
2.140000000000e+03 8.421755900436e-05 2.349610357088e-04 1.822475737193e-06 2.491172751238e-05 2.020256086639e-05 2.419733972394e-02
2.160000000000e+03 8.406002638398e-05 2.346844464200e-04 1.821033940298e-06 2.498306720448e-05 2.027761742277e-05 2.417822829263e-02
2.180000000000e+03 8.390266561214e-05 2.344080520296e-04 1.819592425772e-06 2.505425165416e-05 2.035251801346e-05 2.415912056082e-02
2.200000000000e+03 8.374546158595e-05 2.341318120463e-04 1.818150886649e-06 2.512527758254e-05 2.042726015255e-05 2.414001245315e-02
2.220000000000e+03 8.358839882229e-05 2.338556850189e-04 1.816709008952e-06 2.519614167165e-05 2.050184133313e-05 2.412089980121e-02
2.240000000000e+03 8.343146160666e-05 2.335796289249e-04 1.815266474593e-06 2.526684058901e-05 2.057625904446e-05 2.410177838201e-02
2.260000000000e+03 8.327463415205e-05 2.333036015862e-04 1.813822964477e-06 2.533737101471e-05 2.065051079094e-05 2.408264395921e-02
