# Observation File: outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface-component_concentration
# Region: outlet
# Functional: point
# Variable: total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "subsurface-component_concentration"
1.728000000000e+04 6.066069133326e+02 3.931162984976e+02
1.734000000000e+04 6.066429270327e+02 3.931186253260e+02
1.740000000000e+04 6.066722030931e+02 3.931204637573e+02
1.746000000000e+04 6.066958555594e+02 3.931219043524e+02
1.752000000000e+04 6.067148203340e+02 3.931230220058e+02
1.758000000000e+04 6.067298915001e+02 3.931238790237e+02
1.764000000000e+04 6.067417450126e+02 3.931245272628e+02
1.770000000000e+04 6.067509105283e+02 3.931250079763e+02
1.776000000000e+04 6.067578500121e+02 3.931253558095e+02
1.782000000000e+04 6.067629690928e+02 3.931256003777e+02
1.788000000000e+04 6.067666151295e+02 3.931257657613e+02
1.794000000000e+04 6.067689509415e+02 3.931258678962e+02
1.800000000000e+04 6.067704473673e+02 3.931259311056e+02
1.806000000000e+04 6.067714060454e+02 3.931259703062e+02
1.812000000000e+04 6.067720202181e+02 3.931259946664e+02
1.818000000000e+04 6.067720202181e+02 3.931259946664e+02
1.824000000000e+04 6.067720202181e+02 3.931259946664e+02
1.830000000000e+04 6.067720202181e+02 3.931259946664e+02
1.836000000000e+04 6.067720202181e+02 3.931259946664e+02
1.842000000000e+04 6.067720202181e+02 3.931259946664e+02
1.848000000000e+04 6.067720202181e+02 3.931259946664e+02
1.854000000000e+04 6.067720202181e+02 3.931259946664e+02
1.860000000000e+04 6.067720202181e+02 3.931259946664e+02
1.866000000000e+04 6.067720202181e+02 3.931259946664e+02
1.872000000000e+04 6.067720202181e+02 3.931259946664e+02
1.878000000000e+04 6.067720202181e+02 3.931259946664e+02
1.884000000000e+04 6.067720202181e+02 3.931259946664e+02
1.890000000000e+04 6.067720202181e+02 3.931259946664e+02
1.896000000000e+04 6.067720202181e+02 3.931259946664e+02
1.902000000000e+04 6.067720202181e+02 3.931259946664e+02
1.908000000000e+04 6.067720202181e+02 3.931259946664e+02
1.914000000000e+04 6.067720202181e+02 3.931259946664e+02
1.920000000000e+04 6.067720202181e+02 3.931259946664e+02
1.926000000000e+04 6.067720202181e+02 3.931259946664e+02
1.932000000000e+04 6.067720202181e+02 3.931259946664e+02
1.938000000000e+04 6.067720202181e+02 3.931259946664e+02
1.944000000000e+04 6.067720202181e+02 3.931259946664e+02
1.950000000000e+04 6.067720202181e+02 3.931259946664e+02
1.956000000000e+04 6.067720202181e+02 3.931259946664e+02
1.962000000000e+04 6.067720202181e+02 3.931259946664e+02
1.968000000000e+04 6.067720202181e+02 3.931259946664e+02
1.974000000000e+04 6.067720202181e+02 3.931259946664e+02
1.980000000000e+04 6.067720202181e+02 3.931259946664e+02
1.986000000000e+04 6.067720202181e+02 3.931259946664e+02
1.992000000000e+04 6.067720202181e+02 3.931259946664e+02
1.998000000000e+04 6.067720202181e+02 3.931259946664e+02
2.004000000000e+04 6.067720202181e+02 3.931259946664e+02
2.010000000000e+04 6.067720202181e+02 3.931259946664e+02
2.016000000000e+04 6.067720202181e+02 3.931259946664e+02
2.022000000000e+04 6.067720202181e+02 3.931259946664e+02
2.028000000000e+04 6.067720202181e+02 3.931259946664e+02
2.034000000000e+04 6.067720202181e+02 3.931259946664e+02
