# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration Tracer1" "surface-component_concentration Tracer2"
3.084000000000e+04 1.000000000000e+00 1.000000000000e+00
3.096000000000e+04 1.000000000000e+00 1.000000000000e+00
3.108000000000e+04 1.000000000000e+00 1.000000000000e+00
3.120000000000e+04 1.000000000000e+00 1.000000000000e+00
3.132000000000e+04 1.000000000000e+00 1.000000000000e+00
3.144000000000e+04 1.000000000000e+00 1.000000000000e+00
3.156000000000e+04 1.000000000000e+00 1.000000000000e+00
3.168000000000e+04 1.000000000000e+00 1.000000000000e+00
3.180000000000e+04 1.000000000000e+00 1.000000000000e+00
3.192000000000e+04 1.000000000000e+00 1.000000000000e+00
3.204000000000e+04 1.000000000000e+00 1.000000000000e+00
3.216000000000e+04 1.000000000000e+00 1.000000000000e+00
3.228000000000e+04 1.000000000000e+00 1.000000000000e+00
3.240000000000e+04 1.000000000000e+00 1.000000000000e+00
3.252000000000e+04 1.000000000000e+00 1.000000000000e+00
3.264000000000e+04 1.000000000000e+00 1.000000000000e+00
3.276000000000e+04 1.000000000000e+00 1.000000000000e+00
3.288000000000e+04 1.000000000000e+00 1.000000000000e+00
3.300000000000e+04 1.000000000000e+00 1.000000000000e+00
3.312000000000e+04 1.000000000000e+00 1.000000000000e+00
3.324000000000e+04 1.000000000000e+00 1.000000000000e+00
3.336000000000e+04 1.000000000000e+00 1.000000000000e+00
3.348000000000e+04 1.000000000000e+00 1.000000000000e+00
3.360000000000e+04 1.000000000000e+00 1.000000000000e+00
3.372000000000e+04 1.000000000000e+00 1.000000000000e+00
3.384000000000e+04 1.000000000000e+00 1.000000000000e+00
3.396000000000e+04 1.000000000000e+00 1.000000000000e+00
3.408000000000e+04 1.000000000000e+00 1.000000000000e+00
3.420000000000e+04 1.000000000000e+00 1.000000000000e+00
3.432000000000e+04 1.000000000000e+00 1.000000000000e+00
3.444000000000e+04 1.000000000000e+00 1.000000000000e+00
3.456000000000e+04 1.000000000000e+00 1.000000000000e+00
3.468000000000e+04 1.000000000000e+00 1.000000000000e+00
3.480000000000e+04 1.000000000000e+00 1.000000000000e+00
3.492000000000e+04 1.000000000000e+00 1.000000000000e+00
3.504000000000e+04 1.000000000000e+00 1.000000000000e+00
3.516000000000e+04 1.000000000000e+00 1.000000000000e+00
3.528000000000e+04 1.000000000000e+00 1.000000000000e+00
3.540000000000e+04 1.000000000000e+00 1.000000000000e+00
3.552000000000e+04 1.000000000000e+00 1.000000000000e+00
3.564000000000e+04 1.000000000000e+00 1.000000000000e+00
3.576000000000e+04 1.000000000000e+00 1.000000000000e+00
3.588000000000e+04 1.000000000000e+00 1.000000000000e+00
3.600000000000e+04 1.000000000000e+00 1.000000000000e+00
3.612000000000e+04 1.000000000000e+00 1.000000000000e+00
3.624000000000e+04 1.000000000000e+00 1.000000000000e+00
3.636000000000e+04 1.000000000000e+00 1.000000000000e+00
3.648000000000e+04 1.000000000000e+00 1.000000000000e+00
3.660000000000e+04 1.000000000000e+00 1.000000000000e+00
3.672000000000e+04 1.000000000000e+00 1.000000000000e+00
3.684000000000e+04 1.000000000000e+00 1.000000000000e+00
3.696000000000e+04 1.000000000000e+00 1.000000000000e+00
3.708000000000e+04 1.000000000000e+00 1.000000000000e+00
3.720000000000e+04 1.000000000000e+00 1.000000000000e+00
3.732000000000e+04 1.000000000000e+00 1.000000000000e+00
3.744000000000e+04 1.000000000000e+00 1.000000000000e+00
3.756000000000e+04 1.000000000000e+00 1.000000000000e+00
3.768000000000e+04 1.000000000000e+00 1.000000000000e+00
3.780000000000e+04 1.000000000000e+00 1.000000000000e+00
3.792000000000e+04 1.000000000000e+00 1.000000000000e+00
3.804000000000e+04 1.000000000000e+00 1.000000000000e+00
3.816000000000e+04 1.000000000000e+00 1.000000000000e+00
3.828000000000e+04 1.000000000000e+00 1.000000000000e+00
3.840000000000e+04 1.000000000000e+00 1.000000000000e+00
3.852000000000e+04 1.000000000000e+00 1.000000000000e+00
3.864000000000e+04 1.000000000000e+00 1.000000000000e+00
3.876000000000e+04 1.000000000000e+00 1.000000000000e+00
3.888000000000e+04 1.000000000000e+00 1.000000000000e+00
3.900000000000e+04 1.000000000000e+00 1.000000000000e+00
3.912000000000e+04 1.000000000000e+00 1.000000000000e+00
3.924000000000e+04 1.000000000000e+00 1.000000000000e+00
3.936000000000e+04 1.000000000000e+00 1.000000000000e+00
3.948000000000e+04 1.000000000000e+00 1.000000000000e+00
3.960000000000e+04 1.000000000000e+00 1.000000000000e+00
3.972000000000e+04 1.000000000000e+00 1.000000000000e+00
3.984000000000e+04 1.000000000000e+00 1.000000000000e+00
3.996000000000e+04 1.000000000000e+00 1.000000000000e+00
4.008000000000e+04 1.000000000000e+00 1.000000000000e+00
4.020000000000e+04 1.000000000000e+00 1.000000000000e+00
4.032000000000e+04 1.000000000000e+00 1.000000000000e+00
4.044000000000e+04 1.000000000000e+00 1.000000000000e+00
4.056000000000e+04 1.000000000000e+00 1.000000000000e+00
4.068000000000e+04 1.000000000000e+00 1.000000000000e+00
4.080000000000e+04 1.000000000000e+00 1.000000000000e+00
4.092000000000e+04 1.000000000000e+00 1.000000000000e+00
4.104000000000e+04 1.000000000000e+00 1.000000000000e+00
4.116000000000e+04 1.000000000000e+00 1.000000000000e+00
4.128000000000e+04 1.000000000000e+00 1.000000000000e+00
4.140000000000e+04 1.000000000000e+00 1.000000000000e+00
4.152000000000e+04 1.000000000000e+00 1.000000000000e+00
4.164000000000e+04 1.000000000000e+00 1.000000000000e+00
4.176000000000e+04 1.000000000000e+00 1.000000000000e+00
4.188000000000e+04 1.000000000000e+00 1.000000000000e+00
4.200000000000e+04 1.000000000000e+00 1.000000000000e+00
4.212000000000e+04 1.000000000000e+00 1.000000000000e+00
4.224000000000e+04 1.000000000000e+00 1.000000000000e+00
4.236000000000e+04 1.000000000000e+00 1.000000000000e+00
4.248000000000e+04 1.000000000000e+00 1.000000000000e+00
4.260000000000e+04 1.000000000000e+00 1.000000000000e+00
4.272000000000e+04 1.000000000000e+00 1.000000000000e+00
4.284000000000e+04 1.000000000000e+00 1.000000000000e+00
4.296000000000e+04 1.000000000000e+00 1.000000000000e+00
4.308000000000e+04 1.000000000000e+00 1.000000000000e+00
4.320000000000e+04 1.000000000000e+00 1.000000000000e+00
4.332000000000e+04 1.000000000000e+00 1.000000000000e+00
4.344000000000e+04 1.000000000000e+00 1.000000000000e+00
4.356000000000e+04 1.000000000000e+00 1.000000000000e+00
4.368000000000e+04 1.000000000000e+00 1.000000000000e+00
4.380000000000e+04 1.000000000000e+00 1.000000000000e+00
4.392000000000e+04 1.000000000000e+00 1.000000000000e+00
4.404000000000e+04 1.000000000000e+00 1.000000000000e+00
4.416000000000e+04 1.000000000000e+00 1.000000000000e+00
4.428000000000e+04 1.000000000000e+00 1.000000000000e+00
4.440000000000e+04 1.000000000000e+00 1.000000000000e+00
4.452000000000e+04 1.000000000000e+00 1.000000000000e+00
4.464000000000e+04 1.000000000000e+00 1.000000000000e+00
4.476000000000e+04 1.000000000000e+00 1.000000000000e+00
4.488000000000e+04 1.000000000000e+00 1.000000000000e+00
4.500000000000e+04 1.000000000000e+00 1.000000000000e+00
4.512000000000e+04 1.000000000000e+00 1.000000000000e+00
4.524000000000e+04 1.000000000000e+00 1.000000000000e+00
4.536000000000e+04 1.000000000000e+00 1.000000000000e+00
4.548000000000e+04 1.000000000000e+00 1.000000000000e+00
4.560000000000e+04 1.000000000000e+00 1.000000000000e+00
4.572000000000e+04 1.000000000000e+00 1.000000000000e+00
4.584000000000e+04 1.000000000000e+00 1.000000000000e+00
4.596000000000e+04 1.000000000000e+00 1.000000000000e+00
4.608000000000e+04 1.000000000000e+00 1.000000000000e+00
4.620000000000e+04 1.000000000000e+00 1.000000000000e+00
4.632000000000e+04 1.000000000000e+00 1.000000000000e+00
4.644000000000e+04 1.000000000000e+00 1.000000000000e+00
4.656000000000e+04 1.000000000000e+00 1.000000000000e+00
4.668000000000e+04 1.000000000000e+00 1.000000000000e+00
4.680000000000e+04 1.000000000000e+00 1.000000000000e+00
4.692000000000e+04 9.999999999999e-01 9.999999999999e-01
4.704000000000e+04 9.999999999998e-01 9.999999999998e-01
4.716000000000e+04 9.999999999990e-01 9.999999999990e-01
4.728000000000e+04 9.999999999960e-01 9.999999999960e-01
4.740000000000e+04 9.999999999843e-01 9.999999999843e-01
4.752000000000e+04 9.999999999426e-01 9.999999999426e-01
4.764000000000e+04 9.999999998011e-01 9.999999998011e-01
4.776000000000e+04 9.999999993458e-01 9.999999993458e-01
4.788000000000e+04 9.999999979555e-01 9.999999979555e-01
4.800000000000e+04 9.999999939195e-01 9.999999939195e-01
4.812000000000e+04 9.999999827630e-01 9.999999827630e-01
4.824000000000e+04 9.999999533529e-01 9.999999533529e-01
4.836000000000e+04 9.999998793049e-01 9.999998793049e-01
4.848000000000e+04 9.999997009727e-01 9.999997009727e-01
4.860000000000e+04 9.999992895482e-01 9.999992895482e-01
4.872000000000e+04 9.999983789482e-01 9.999983789482e-01
4.884000000000e+04 9.999964426784e-01 9.999964426784e-01
4.896000000000e+04 9.999924815655e-01 9.999924815655e-01
4.908000000000e+04 9.999846746022e-01 9.999846746022e-01
4.920000000000e+04 9.999698306927e-01 9.999698306927e-01
4.932000000000e+04 9.999425666786e-01 9.999425666786e-01
4.944000000000e+04 9.998941308763e-01 9.998941308763e-01
4.956000000000e+04 9.998107966441e-01 9.998107966441e-01
4.968000000000e+04 9.996717724615e-01 9.996717724615e-01
4.980000000000e+04 9.994466176259e-01 9.994466176259e-01
4.992000000000e+04 9.990922171452e-01 9.990922171452e-01
5.004000000000e+04 9.985494527395e-01 9.985494527395e-01
5.016000000000e+04 9.977398011737e-01 9.977398011737e-01
5.028000000000e+04 9.965621838297e-01 9.965621838297e-01
5.040000000000e+04 9.948904666487e-01 9.948904666487e-01
5.052000000000e+04 9.925720506933e-01 9.925720506933e-01
5.064000000000e+04 9.894279862915e-01 9.894279862915e-01
5.076000000000e+04 9.852549792331e-01 9.852549792331e-01
5.088000000000e+04 9.798295349056e-01 9.798295349056e-01
5.100000000000e+04 9.729143137714e-01 9.729143137714e-01
5.112000000000e+04 9.642665659550e-01 9.642665659550e-01
5.124000000000e+04 9.536482971195e-01 9.536482971195e-01
5.136000000000e+04 9.408376185284e-01 9.408376185284e-01
5.148000000000e+04 9.256405765658e-01 9.256405765658e-01
5.160000000000e+04 9.079026616095e-01 9.079026616095e-01
5.172000000000e+04 8.875191758256e-01 8.875191758256e-01
5.184000000000e+04 8.644436974697e-01 8.644436974697e-01
5.196000000000e+04 8.386940092845e-01 8.386940092845e-01
5.208000000000e+04 8.103550457889e-01 8.103550457889e-01
5.220000000000e+04 7.795786379136e-01 7.795786379136e-01
5.232000000000e+04 7.465800698314e-01 7.465800698314e-01
5.244000000000e+04 7.116316884605e-01 7.116316884605e-01
5.256000000000e+04 6.750540005045e-01 6.750540005045e-01
5.268000000000e+04 6.372048396314e-01 6.372048396314e-01
5.280000000000e+04 5.984672783467e-01 5.984672783467e-01
5.292000000000e+04 5.592369926724e-01 5.592369926724e-01
5.304000000000e+04 5.199097661866e-01 5.199097661866e-01
